id,date,nft_id,rarity
189447424844,2024-07-15 11:31:11,EQBvgQDv0sJO52GGlAQne9LIFGNDrLyz-XUaDxKldzTaqst_,Common
182915058262,2024-07-15 11:32:15,EQCg8KMG9Tw4gXA_WrxfQo_lQBQI5nNELXH6yQZTiV-juIXc,Common
186988122768,2024-07-15 11:32:29,EQDcSQQgDCl5t-8JEqorKyLfr5DEZYO1WHN8a305h9gZIc_S,Common
800780315845,2024-07-15 11:32:29,EQC74-9WpRk3foGg87spsu8rp0TDKujQwTskdul5zwZIxB4a,Uncommon
831057888034,2024-07-15 11:36:28,EQAdp_NqsfJNbJ3XQTvr_kGiH5XFTvNtc-cPD_GODots5yCO,Common
211226666804,2024-07-15 11:39:46,EQBixISJcRWQvqTUfvUIw5BrjL8fp3ImqUg6_VoMP07fImkK,Uncommon
107391474948,2024-07-15 11:40:50,EQAUmz7y-ksSRQ_e3DgnSvSA6iY07JianLM3B6PB6cSOh86Y,Common
331141343669,2024-07-15 11:41:40,EQBRL-cZS9jN7-3NNE4eSAK1vuDWu3RvL2VAHwOZZMfrh0Zw,Uncommon
716932955095,2024-07-15 11:43:39,EQCIZUWrGM_DA6Wy1typdHbwh9vvrWuyL8MRVkOSo1cWKaLW,Rare
322894843805,2024-07-15 11:44:16,EQAzCxLlHmyj99Bnj1sVx2JmHQYtoRP-iV_edGcknN8-VZ7r,Common
456870845647,2024-07-15 11:44:16,EQBBLmqRJxGeT-XXSMRZoijqX-aBualUkR1sKcoEW-NW2vro,Common
430736168974,2024-07-15 11:45:05,EQBd2pYstN76S_ILg_ysma9Pb45xGrQ-by6gfVhbA9QbBfUH,Common
594224241196,2024-07-15 11:46:28,EQC2Fjwpd7QIQ_LLEyoGEch3J_5sJEcuggwlRmdQCx0tVvDp,Rare
232034753094,2024-07-15 11:46:34,EQCIZGkVCAWmsKggNddrKreFccg6nSKhWEJMr73Sfq-Er3bL,Uncommon
485259024563,2024-07-15 11:46:46,EQC1MAO3eSRiE_M1yvcJZTKPPKGAMkKYYy75CqmRjz8RGUVd,Common
316525397344,2024-07-15 11:47:17,EQB76T7wEFPDEzpNSgwvbQ_x6P8R8EoLB0hRQ03z3qm--2y0,Common
191093075702,2024-07-15 11:47:42,EQDp1xxkiBPNDn2_VsxesrOReg1tLtr40oRtdCSjpid4oeT0,Common
818085584765,2024-07-15 11:48:01,EQCjGT5oihFXp4_IN9kLfyN3NB8n6C6IYt_t6gQF290wuYsD,Common
231968541946,2024-07-15 11:48:32,EQDgCXFAQ9BeDWWzfBV33InyJ22_FVAh1b6qz9SySzd3iWPM,Common
223113174504,2024-07-15 11:48:57,EQDXiAqILHKkP0OyrleP5SQ5Lee4I_T40madSKoU7WiTt4Pp,Common
801624794668,2024-07-15 11:50:19,EQB_Gq2wicBnTxgzC7gkYkA60Z5sTONv6NvWzAdsTlCHm1er,Uncommon
945863007702,2024-07-15 11:50:19,EQAiV6XFPDS8rSJw3pBm4N1-Td4sgYGBZAEXjR2EDfG_NX4M,Uncommon
693190797983,2024-07-15 11:50:19,EQBT8m3pjNlguoWKHBUi7HDlSDPYB8gH5ltzsr0AW4obyB1-,Uncommon
108121376082,2024-07-15 11:51:02,EQCNNdQbb4k55KOfsKyAbYAS-rZr-TPW3r-qHfrZISjXub49,Common
653380387529,2024-07-15 11:51:02,EQCsq3OAkdI1xP59TuWh83BtdahawJsnBA4KrW43-aOSYfqZ,Common
260789405438,2024-07-15 11:51:45,EQANbt50WZh_XmnBC1xCKn-2nn4WLHRzoUqIdEyoYIOoGBcr,Common
739163225701,2024-07-15 11:52:49,EQA8WUxJZ3SJ5Li98ze1aQxCVxDdjh0XWYvfX2YqBIkn6DYS,Common
663918705662,2024-07-15 11:53:08,EQDEFAM5nfH_yfsmVGXBUgErKNSBLwUoFF9W6pUhndBcj0Vt,Common
537483573668,2024-07-15 11:53:46,EQBFDkaleOzq3XTuMf_Klk2OaLujUCH--Swf79PX9HkRni3y,Common
524588254957,2024-07-15 11:54:30,EQDQSk62ZKXc1yiRbtx1vZA-gO0aQPjbwURb0OoT1Z0zv2tA,Common
124698821894,2024-07-15 11:55:01,EQDZnv0dZbrm8-7OV8pGzg7r_DleA9bH-DnUGFiw7-pLSgGB,Common
805399491854,2024-07-15 11:55:07,EQBcgwo7yA6j-1zCrbXbjEOLPMOJ8JSitllJz2oxFLyjVBiL,Ultra Rare
871955472410,2024-07-15 11:55:32,EQAwDLQ021fOfAwLIC5qg_JUgxmxwm_f5D6ij2lsz7KX6G3w,Common
471352433804,2024-07-15 11:57:55,EQA_BteA7wpDUuULMGLe48mJ6t4-djdMgkrGO3X1Dli9A026,Common
768698075319,2024-07-15 11:58:07,EQBrohb-5Db6lb1nwA3Qpp1UsqklRgF3ST39oVFa51nRLwII,Common
400357148251,2024-07-15 11:58:38,EQCv-XJFWtSSEJwW1tiDbPJRyz2cky1Fsv0GPamYAhDwrHA9,Common
439918945155,2024-07-15 11:59:16,EQA5_ci02rNXVguprf-Qjp6_9sBnmhjl8ebB2w7y9wtMufy3,Uncommon
124929227981,2024-07-15 12:02:38,EQBubKmnkOTJu2Hg_L70nGAOgsrnDiMyJiNSuf43YO7raDkF,Common
124165298241,2024-07-15 12:06:12,EQBEuYpP0v1TIwLjLvfLRGn9ztlSD3OYgIBkMF9OH5gMV1LA,Uncommon
384780241910,2024-07-15 12:08:30,EQBScDaxqwOq1pJv6rlL7KX3qcux8eg1HaSTsA2JBf6osdzF,Uncommon
659819084218,2024-07-15 12:09:46,EQDP1y0vTfrOFJ0pO2IW35h32rODXTuVkDOy7NqPXsaoNzze,Common
367924363043,2024-07-15 12:09:58,EQB5Gq5Vs1vTNoYUnE-i7OAPkQCndK9RAoK6USeNFEeo294J,Uncommon
405180695582,2024-07-15 12:09:58,EQCj-hT6RTJi67YT8KOsQ03ASDoiZjXJynWP5FpczqSXdIru,Common
283244765309,2024-07-15 12:12:25,EQCeHZRstVG_YrBvh5mu9iqQ16A5Rd8gkQyBgJUbocMBX1EH,Common
653436351144,2024-07-15 12:12:50,EQBhrtMT0jh0tTky15Rj8fYrBLPzg1FqcpJBQkuQlO27UtjP,Common
525557753713,2024-07-15 12:12:50,EQDBa3A8VNPUnU6C0PeWhmZJwelebclyaqlLDNjdTC8RC9LE,Common
459380645235,2024-07-15 12:15:22,EQAZAs9rWC2KIdmH_vlhPSTZOajUTjycDNZ1tMxFjhd5DRQr,Common
250522516612,2024-07-15 12:16:36,EQC7kgApi8VnPxnuS0PVjLzHbIzQYpToWRJattZWsJT4E8Q6,Common
995118773721,2024-07-15 12:21:07,EQDD1TJTSEnj5ixGjsN6-2uEd_jcYO9BAZhgLX2o-_skG_Eq,Rare
673997522673,2024-07-15 12:23:35,EQDHtl3NMgBJqmm6nbcIBRob-WqtdDMpAW76S6WyZOgIucvo,Uncommon
105668165328,2024-07-15 12:23:47,EQDr4l2KKL-QjoCaqmJQGvfsL2J2JfraLmzQTJjBKKtQ-D9U,Uncommon
422996364390,2024-07-15 12:26:41,EQDFtWz1dWEQPJlLHigYt7kBwMhvxLmlBh3ll9Xq9WJDIhk6,Uncommon
477749186175,2024-07-15 12:28:16,EQA1Ou7JbIsrenihu-x89mcYzuZ3oqASMDypHCGILX9Ytds8,Common
785134021957,2024-07-15 12:32:37,EQDajqxrbMYtKG_0pdejdDMzYolTl0476jJxWdpouOyzxEC2,Common
905713453645,2024-07-15 12:35:55,EQAzcwzJABn5U2xdqfy9mdhCTkw0fUvRUc-gWOHBZi8xzUdn,Common
699861739481,2024-07-15 12:37:17,EQByHFEmZbYg4uBBjTs0uRMwC2RXbSUyAT1_pGOVB5JqFEUH,Uncommon
573985138854,2024-07-15 12:41:45,EQDke3epp_CeMQrhqUoyqZWuDopAlh4nhgNfhuWtKWhTdd7J,Uncommon
624922334439,2024-07-15 12:47:33,EQCL6w5T-pCmgl6FybKT2SazxMlqqmlHBY_XRq092hzTDAOW,Common
159995938261,2024-07-15 12:50:02,EQBofMsh7rwBF7SST87zRfp_b22lOAJHmTRM6oU6oU32wKto,Common
850951346080,2024-07-15 12:54:04,EQBPVc-cZwzqWQUuwK4HcHXVLAfCOpo3X0wsJwE3cp-y6cd3,Uncommon
493374774557,2024-07-15 12:55:55,EQBXk4J12MO7oAzS1bk7tUCeqlnYuLUZkdxPi9EHL5h3wBwH,Uncommon
505148689975,2024-07-15 13:08:19,EQAU3lpdGx1abwrZM3yY_yjMGmpcdu7jKklplZIKbVGG_696,Uncommon
829864936943,2024-07-15 13:09:40,EQCcg1oJ_ZBNvv_GQOk9GIG3xytWitRoWRZK7_kp-Ablpuxi,Common
885452513049,2024-07-15 13:17:07,EQAu2POk3IzMm1OgtYt3IjR8sys3PxHLiGhJ0qEQ7YAcp0qZ,Uncommon
896389522709,2024-07-15 13:22:23,EQCwI2hGsPzrmrLqaO-8YtwVo82F0EFz402kxLDAq-3u_jVV,Uncommon
415049936269,2024-07-15 13:25:42,EQDX2F-PEu-gIXm3DRoKz-NsmCe5_beE2gleeiD7--9UDSf1,Common
537472659751,2024-07-15 13:43:49,EQDUFkJ0Kkl0sibE8OQk-Ng3dO8Tr5CNQDNxPtOHG9LHpaP4,Common
761714424117,2024-07-15 13:48:25,EQD0nN1PV5Aqb1Ue8_1qSA3734VCkUMk1wBki9scL-Y5AnCw,Uncommon
167939176743,2024-07-15 13:49:53,EQCm-Vr9TrttDS-uHZnZgcNNWP_npEXObDUoFmfGNmk4-W_L,Common
488359035873,2024-07-15 14:02:44,EQASkNPWHZiJWOLDcYN-s81iTcu7tikql7-DRundWGFXbmNV,Common
201487661490,2024-07-15 14:04:49,EQAQmhRqXaNjPVdTKe7dIbsr-A6EkhXvY4kgRW__rd43pPya,Uncommon
329690204323,2024-07-15 14:10:00,EQA3mgjFDqXLpoz4iI8aG1S6pFrpPC893-ZrFLjZ-C2gXwAl,Uncommon
985150615767,2024-07-15 14:10:38,EQCBQiVXj2oqagTvrQoBFjRvkJJhoVjYyfL2QwdeToOy9GwS,Common
452128752285,2024-07-15 14:11:28,EQBUejnalaDjP6tAPrBpq8CdECcgqrvnV3Xd3hUTX1kA_UAr,Uncommon
369535456868,2024-07-15 14:22:01,EQBjaYTMIVT6gxEXglcRrlxszsvwuxlAzyQk6rzPKO4uDlu9,Common
853554789118,2024-07-15 14:24:42,EQCCWRLbPtn17FJJH6Vh0bEdXmIFhWOm0AQvGxG0vmmF-b6C,Common
317421936422,2024-07-15 14:25:34,EQCYXYmX-p9Aqxe-u1NUIh6Qs49_hs8XLMo_hUFW05wEMC0H,Common
324033312562,2024-07-15 14:27:51,EQB4_N4VCVoeCoxfUiHopszPIvg0LAwEORxMX0PdLM1pkAQI,Uncommon
